No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
2,1.2052261,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,236,-50dBm,,,"QoS Data, SN=620, FN=0, Flags=.p..R.F."
7,2.9850657,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,202,-47dBm,,,"QoS Data, SN=621, FN=0, Flags=.p....F."
11,4.5618519,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,188,-43dBm,,,"QoS Data, SN=622, FN=0, Flags=.p....F."
13,5.8179321999999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,236,-50dBm,,,"QoS Data, SN=623, FN=0, Flags=.p..R.F."
14,5.8515494,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,236,-56dBm,,,"QoS Data, SN=624, FN=0, Flags=.p....F."
19,7.6229489,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-57dBm,,,"QoS Data, SN=625, FN=0, Flags=.p..R.F."
22,9.2541249,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-57dBm,,,"QoS Data, SN=626, FN=0, Flags=.p....F."
27,10.3909467,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,114,-65dBm,,,"QoS Data, SN=627, FN=0, Flags=.p....F."
29,11.809619600000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,164,-45dBm,,,"QoS Data, SN=628, FN=0, Flags=.p....F."
33,11.828482200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,164,-52dBm,,,"QoS Data, SN=629, FN=0, Flags=.p..R.F."
38,12.912535600000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,196,-39dBm,,,"QoS Data, SN=630, FN=0, Flags=.p....F."
43,13.455054700000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,196,-48dBm,,,"QoS Data, SN=631, FN=0, Flags=.p..R.F."
46,14.336190100000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,196,-58dBm,,,"QoS Data, SN=632, FN=0, Flags=.p..R.F."
51,15.841641000000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-68dBm,,,"QoS Data, SN=633, FN=0, Flags=.p....F."
56,16.2462515,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-58dBm,,,"QoS Data, SN=634, FN=0, Flags=.p....F."
59,17.949279699999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-54dBm,,,"QoS Data, SN=635, FN=0, Flags=.p....F."
64,18.423752599999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-53dBm,,,"QoS Data, SN=636, FN=0, Flags=.p....F."
68,19.290699399999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-47dBm,,,"QoS Data, SN=637, FN=0, Flags=.p....F."
73,19.383185899999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-50dBm,,,"QoS Data, SN=638, FN=0, Flags=.p..R.F."
78,20.0352692,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-51dBm,,,"QoS Data, SN=639, FN=0, Flags=.p....F."
81,21.737734399999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,236,-47dBm,,,"QoS Data, SN=640, FN=0, Flags=.p....F."
86,22.051078199999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,236,-53dBm,,,"QoS Data, SN=641, FN=0, Flags=.p....F."
87,23.845168199999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-52dBm,,,"QoS Data, SN=642, FN=0, Flags=.p..R.F."
89,24.340685599999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-63dBm,,,"QoS Data, SN=643, FN=0, Flags=.p....F."
90,25.9239154,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,197,-44dBm,,,"QoS Data, SN=644, FN=0, Flags=.p....F."
91,27.100203299999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,117,-51dBm,,,"QoS Data, SN=645, FN=0, Flags=.p....F."
93,28.629348799999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,205,-43dBm,,,"QoS Data, SN=646, FN=0, Flags=.p....F."
97,29.334775399999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,205,-52dBm,,,"QoS Data, SN=647, FN=0, Flags=.p....F."
102,30.373116799999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-47dBm,,,"QoS Data, SN=648, FN=0, Flags=.p....F."
107,30.995654299999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-58dBm,,,"QoS Data, SN=649, FN=0, Flags=.p..R.F."
111,31.491394999999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-53dBm,,,"QoS Data, SN=650, FN=0, Flags=.p..R.F."
113,32.214547499999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-43dBm,,,"QoS Data, SN=651, FN=0, Flags=.p....F."
118,33.105716599999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-45dBm,,,"QoS Data, SN=652, FN=0, Flags=.p..R.F."
120,34.3397903,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,185,-52dBm,,,"QoS Data, SN=653, FN=0, Flags=.p....F."
121,35.385911799999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,223,-42dBm,,,"QoS Data, SN=654, FN=0, Flags=.p....F."
123,35.41851559999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,223,-50dBm,,,"QoS Data, SN=655, FN=0, Flags=.p....F."
126,36.92530029999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,193,-44dBm,,,"QoS Data, SN=656, FN=0, Flags=.p..R.F."
130,38.92030199999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,113,-51dBm,,,"QoS Data, SN=657, FN=0, Flags=.p....F."
134,40.53518119999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-60dBm,,,"QoS Data, SN=658, FN=0, Flags=.p..R.F."
135,41.62222839999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-45dBm,,,"QoS Data, SN=659, FN=0, Flags=.p....F."
137,42.08898139999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-46dBm,,,"QoS Data, SN=660, FN=0, Flags=.p....F."
141,42.51092479999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-37dBm,,,"QoS Data, SN=661, FN=0, Flags=.p..R.F."
145,43.641016699999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,217,-43dBm,,,"QoS Data, SN=662, FN=0, Flags=.p....F."
148,44.849610799999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-41dBm,,,"QoS Data, SN=663, FN=0, Flags=.p....F."
151,45.4040049,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-47dBm,,,"QoS Data, SN=664, FN=0, Flags=.p....F."
154,45.581109899999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-59dBm,,,"QoS Data, SN=665, FN=0, Flags=.p....F."
156,45.6084311,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-46dBm,,,"QoS Data, SN=666, FN=0, Flags=.p..R.F."
157,46.3132575,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-48dBm,,,"QoS Data, SN=667, FN=0, Flags=.p....F."
158,48.1108145,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,203,-47dBm,,,"QoS Data, SN=668, FN=0, Flags=.p....F."
