No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
4,0.8871493,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-26dBm,,,"QoS Data, SN=922, FN=0, Flags=.p....F."
7,1.054913,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-24dBm,,,"QoS Data, SN=923, FN=0, Flags=.p..R.F."
12,1.9420456000000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-32dBm,,,"QoS Data, SN=924, FN=0, Flags=.p....F."
16,2.6400437,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-44dBm,,,"QoS Data, SN=925, FN=0, Flags=.p....F."
21,4.389499900000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-23dBm,,,"QoS Data, SN=926, FN=0, Flags=.p....F."
25,5.6767197000000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,216,-46dBm,,,"QoS Data, SN=927, FN=0, Flags=.p..R.F."
26,6.2004182000000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,216,-39dBm,,,"QoS Data, SN=928, FN=0, Flags=.p....F."
28,7.597987600000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-30dBm,,,"QoS Data, SN=929, FN=0, Flags=.p....F."
30,7.7060181000000005,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-39dBm,,,"QoS Data, SN=930, FN=0, Flags=.p....F."
31,7.957103900000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-44dBm,,,"QoS Data, SN=931, FN=0, Flags=.p..R.F."
36,8.1671432,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-22dBm,,,"QoS Data, SN=932, FN=0, Flags=.p..R.F."
41,8.2096637,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-25dBm,,,"QoS Data, SN=933, FN=0, Flags=.p....F."
44,8.536396400000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-40dBm,,,"QoS Data, SN=934, FN=0, Flags=.p....F."
45,9.332963000000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-55dBm,,,"QoS Data, SN=935, FN=0, Flags=.p....F."
49,10.3790884,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,207,-42dBm,,,"QoS Data, SN=936, FN=0, Flags=.p....F."
51,12.1378758,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,117,-27dBm,,,"QoS Data, SN=937, FN=0, Flags=.p....F."
53,13.3300194,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-21dBm,,,"QoS Data, SN=938, FN=0, Flags=.p....F."
55,13.4890963,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-47dBm,,,"QoS Data, SN=939, FN=0, Flags=.p....F."
58,14.3313654,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-26dBm,,,"QoS Data, SN=940, FN=0, Flags=.p..R.F."
63,14.9916962,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,247,-19dBm,,,"QoS Data, SN=941, FN=0, Flags=.p....F."
66,16.6995113,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,126,-42dBm,,,"QoS Data, SN=942, FN=0, Flags=.p..R.F."
70,18.4409733,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-26dBm,,,"QoS Data, SN=943, FN=0, Flags=.p....F."
75,19.6800245,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-43dBm,,,"QoS Data, SN=944, FN=0, Flags=.p....F."
79,20.380132099999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-26dBm,,,"QoS Data, SN=945, FN=0, Flags=.p....F."
80,21.142850099999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-34dBm,,,"QoS Data, SN=946, FN=0, Flags=.p....F."
81,21.606297799999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-23dBm,,,"QoS Data, SN=947, FN=0, Flags=.p..R.F."
84,22.154266299999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-42dBm,,,"QoS Data, SN=948, FN=0, Flags=.p..R.F."
88,22.362297399999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-32dBm,,,"QoS Data, SN=949, FN=0, Flags=.p....F."
90,23.387391399999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-24dBm,,,"QoS Data, SN=950, FN=0, Flags=.p....F."
92,23.946363499999993,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-23dBm,,,"QoS Data, SN=951, FN=0, Flags=.p..R.F."
94,24.986434999999993,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,151,-27dBm,,,"QoS Data, SN=952, FN=0, Flags=.p..R.F."
98,26.062414899999993,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-26dBm,,,"QoS Data, SN=953, FN=0, Flags=.p....F."
100,27.154063199999992,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,230,-28dBm,,,"QoS Data, SN=954, FN=0, Flags=.p....F."
