No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
3,1.9978177000000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-43dBm,,,"QoS Data, SN=17, FN=0, Flags=.p....F."
4,2.6928085,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-50dBm,,,"QoS Data, SN=18, FN=0, Flags=.p....F."
8,3.4014222,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-39dBm,,,"QoS Data, SN=19, FN=0, Flags=.p..R.F."
9,3.7519668,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-43dBm,,,"QoS Data, SN=20, FN=0, Flags=.p..R.F."
12,4.5913402,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-48dBm,,,"QoS Data, SN=21, FN=0, Flags=.p....F."
16,4.7761876,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-44dBm,,,"QoS Data, SN=22, FN=0, Flags=.p..R.F."
19,5.1382939,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-47dBm,,,"QoS Data, SN=23, FN=0, Flags=.p....F."
21,5.7799686,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,237,-45dBm,,,"QoS Data, SN=24, FN=0, Flags=.p..R.F."
22,7.7317485999999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-43dBm,,,"QoS Data, SN=25, FN=0, Flags=.p....F."
26,8.0617775,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,187,-48dBm,,,"QoS Data, SN=26, FN=0, Flags=.p....F."
31,9.8420545,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-42dBm,,,"QoS Data, SN=27, FN=0, Flags=.p....F."
34,10.2035731,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-33dBm,,,"QoS Data, SN=28, FN=0, Flags=.p..R.F."
39,10.605585,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-44dBm,,,"QoS Data, SN=29, FN=0, Flags=.p..R.F."
41,11.5613605,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-50dBm,,,"QoS Data, SN=30, FN=0, Flags=.p....F."
44,12.8325462,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,252,-40dBm,,,"QoS Data, SN=31, FN=0, Flags=.p....F."
48,14.4261599,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,151,-36dBm,,,"QoS Data, SN=32, FN=0, Flags=.p....F."
50,15.488048,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-40dBm,,,"QoS Data, SN=33, FN=0, Flags=.p....F."
55,15.5253701,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,156,-42dBm,,,"QoS Data, SN=34, FN=0, Flags=.p..R.F."
59,16.534274,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-40dBm,,,"QoS Data, SN=35, FN=0, Flags=.p....F."
62,18.4111846,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,126,-41dBm,,,"QoS Data, SN=36, FN=0, Flags=.p..R.F."
63,18.6963336,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,126,-42dBm,,,"QoS Data, SN=37, FN=0, Flags=.p..R.F."
65,20.6426624,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-51dBm,,,"QoS Data, SN=38, FN=0, Flags=.p....F."
66,21.233192199999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-42dBm,,,"QoS Data, SN=39, FN=0, Flags=.p....F."
69,21.338901299999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-39dBm,,,"QoS Data, SN=40, FN=0, Flags=.p..R.F."
73,22.187838299999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-41dBm,,,"QoS Data, SN=41, FN=0, Flags=.p....F."
75,23.920447499999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,224,-43dBm,,,"QoS Data, SN=42, FN=0, Flags=.p....F."
76,24.973198199999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-37dBm,,,"QoS Data, SN=43, FN=0, Flags=.p....F."
78,26.891541099999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,193,-45dBm,,,"QoS Data, SN=44, FN=0, Flags=.p....F."
81,27.901119099999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-40dBm,,,"QoS Data, SN=45, FN=0, Flags=.p....F."
85,29.094091699999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,173,-49dBm,,,"QoS Data, SN=46, FN=0, Flags=.p....F."
87,29.654852699999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,173,-36dBm,,,"QoS Data, SN=47, FN=0, Flags=.p....F."
91,29.765332199999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,173,-44dBm,,,"QoS Data, SN=48, FN=0, Flags=.p..R.F."
93,30.049783099999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,173,-42dBm,,,"QoS Data, SN=49, FN=0, Flags=.p....F."
95,31.166200299999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-41dBm,,,"QoS Data, SN=50, FN=0, Flags=.p....F."
98,31.949128999999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-40dBm,,,"QoS Data, SN=51, FN=0, Flags=.p..R.F."
100,33.78466339999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,253,-44dBm,,,"QoS Data, SN=52, FN=0, Flags=.p....F."
104,34.249027899999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,253,-48dBm,,,"QoS Data, SN=53, FN=0, Flags=.p..R.F."
106,35.383433,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,197,-38dBm,,,"QoS Data, SN=54, FN=0, Flags=.p....F."
109,37.262899499999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-38dBm,,,"QoS Data, SN=55, FN=0, Flags=.p....F."
110,39.180213099999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-41dBm,,,"QoS Data, SN=56, FN=0, Flags=.p....F."
114,39.411757699999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-36dBm,,,"QoS Data, SN=57, FN=0, Flags=.p....F."
116,39.8351445,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-38dBm,,,"QoS Data, SN=58, FN=0, Flags=.p..R.F."
120,41.299962,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-34dBm,,,"QoS Data, SN=59, FN=0, Flags=.p....F."
123,41.9601505,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-43dBm,,,"QoS Data, SN=60, FN=0, Flags=.p....F."
125,42.6636397,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-48dBm,,,"QoS Data, SN=61, FN=0, Flags=.p..R.F."
128,43.713620899999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,124,-42dBm,,,"QoS Data, SN=62, FN=0, Flags=.p..R.F."
