No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
4500,1479.7359079999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,232,-34dBm,,,"QoS Data, SN=2019, FN=0, Flags=.p..R.F."
4501,1480.0819189999988,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,232,-34dBm,,,"QoS Data, SN=2020, FN=0, Flags=.p..R.F."
4502,1480.2745041999988,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,232,-38dBm,,,"QoS Data, SN=2021, FN=0, Flags=.p..R.F."
4504,1481.6526812999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-22dBm,,,"QoS Data, SN=2022, FN=0, Flags=.p....F."
4506,1481.9178023999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-18dBm,,,"QoS Data, SN=2023, FN=0, Flags=.p....F."
4508,1483.3299321999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,214,-42dBm,,,"QoS Data, SN=2024, FN=0, Flags=.p....F."
4513,1484.3529362999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,135,-33dBm,,,"QoS Data, SN=2025, FN=0, Flags=.p....F."
4515,1486.0835717999987,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,223,-43dBm,,,"QoS Data, SN=2026, FN=0, Flags=.p....F."
4517,1486.5181377999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,223,-30dBm,,,"QoS Data, SN=2027, FN=0, Flags=.p..R.F."
4518,1486.5459946999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,223,-32dBm,,,"QoS Data, SN=2028, FN=0, Flags=.p....F."
4523,1488.3412316999986,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,251,-32dBm,,,"QoS Data, SN=2029, FN=0, Flags=.p....F."
4528,1489.8314192999985,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,215,-43dBm,,,"QoS Data, SN=2030, FN=0, Flags=.p....F."
