No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
6,1.9080276999999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-40dBm,,,"QoS Data, SN=954, FN=0, Flags=.p....F."
11,3.1915430999999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,231,-43dBm,,,"QoS Data, SN=955, FN=0, Flags=.p..R.F."
13,4.4463317,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,192,-37dBm,,,"QoS Data, SN=956, FN=0, Flags=.p..R.F."
16,4.8915718,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,192,-44dBm,,,"QoS Data, SN=957, FN=0, Flags=.p....F."
20,5.6027639,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,192,-45dBm,,,"QoS Data, SN=958, FN=0, Flags=.p....F."
21,7.5124134,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-43dBm,,,"QoS Data, SN=959, FN=0, Flags=.p....F."
26,8.6675778,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,114,-55dBm,,,"QoS Data, SN=960, FN=0, Flags=.p....F."
28,10.1179205,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-42dBm,,,"QoS Data, SN=961, FN=0, Flags=.p....F."
31,11.4451905,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,132,-37dBm,,,"QoS Data, SN=962, FN=0, Flags=.p....F."
36,12.926938,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-35dBm,,,"QoS Data, SN=963, FN=0, Flags=.p..R.F."
40,13.7659833,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,170,-38dBm,,,"QoS Data, SN=964, FN=0, Flags=.p..R.F."
45,15.5871406,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-38dBm,,,"QoS Data, SN=965, FN=0, Flags=.p..R.F."
48,16.977335,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,111,-39dBm,,,"QoS Data, SN=966, FN=0, Flags=.p....F."
50,18.7845501,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,232,-35dBm,,,"QoS Data, SN=967, FN=0, Flags=.p....F."
52,20.2096394,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,243,-36dBm,,,"QoS Data, SN=968, FN=0, Flags=.p....F."
53,21.890507,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,204,-36dBm,,,"QoS Data, SN=969, FN=0, Flags=.p....F."
58,22.3932984,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,204,-36dBm,,,"QoS Data, SN=970, FN=0, Flags=.p..R.F."
62,23.858708099999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,129,-36dBm,,,"QoS Data, SN=971, FN=0, Flags=.p..R.F."
64,25.170666399999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,201,-33dBm,,,"QoS Data, SN=972, FN=0, Flags=.p....F."
65,25.8926539,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,201,-40dBm,,,"QoS Data, SN=973, FN=0, Flags=.p..R.F."
