No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
6,0.8849684,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,209,-49dBm,,,"QoS Data, SN=611, FN=0, Flags=.p....F."
7,1.1802815,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,209,-52dBm,,,"QoS Data, SN=612, FN=0, Flags=.p....F."
8,2.8380779,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,162,-59dBm,,,"QoS Data, SN=613, FN=0, Flags=.p..R.F."
13,4.0077618,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,133,-47dBm,,,"QoS Data, SN=614, FN=0, Flags=.p....F."
16,5.278867,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,191,-42dBm,,,"QoS Data, SN=615, FN=0, Flags=.p..R.F."
20,5.4242727,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,191,-42dBm,,,"QoS Data, SN=616, FN=0, Flags=.p....F."
23,6.628947500000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-49dBm,,,"QoS Data, SN=617, FN=0, Flags=.p....F."
28,7.255338300000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-49dBm,,,"QoS Data, SN=618, FN=0, Flags=.p..R.F."
30,7.527254900000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-51dBm,,,"QoS Data, SN=619, FN=0, Flags=.p..R.F."
33,9.216162400000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,191,-55dBm,,,"QoS Data, SN=620, FN=0, Flags=.p....F."
36,11.074978800000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,106,-38dBm,,,"QoS Data, SN=621, FN=0, Flags=.p....F."
39,12.809293100000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-37dBm,,,"QoS Data, SN=622, FN=0, Flags=.p..R.F."
44,13.104069400000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-53dBm,,,"QoS Data, SN=623, FN=0, Flags=.p..R.F."
45,13.928197200000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-34dBm,,,"QoS Data, SN=624, FN=0, Flags=.p....F."
50,14.8710412,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-60dBm,,,"QoS Data, SN=625, FN=0, Flags=.p....F."
53,14.977607800000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,256,-52dBm,,,"QoS Data, SN=626, FN=0, Flags=.p....F."
54,16.849404200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,242,-52dBm,,,"QoS Data, SN=627, FN=0, Flags=.p....F."
59,18.564673700000004,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,167,-47dBm,,,"QoS Data, SN=628, FN=0, Flags=.p....F."
60,20.368392200000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,239,-36dBm,,,"QoS Data, SN=629, FN=0, Flags=.p....F."
63,21.7104937,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-60dBm,,,"QoS Data, SN=630, FN=0, Flags=.p....F."
64,22.1981679,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-43dBm,,,"QoS Data, SN=631, FN=0, Flags=.p..R.F."
68,23.0788735,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-43dBm,,,"QoS Data, SN=632, FN=0, Flags=.p....F."
71,23.5850291,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-60dBm,,,"QoS Data, SN=633, FN=0, Flags=.p....F."
76,24.0493447,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,116,-45dBm,,,"QoS Data, SN=634, FN=0, Flags=.p....F."
79,25.7997958,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,152,-42dBm,,,"QoS Data, SN=635, FN=0, Flags=.p....F."
81,27.670553799999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-51dBm,,,"QoS Data, SN=636, FN=0, Flags=.p....F."
84,27.970893699999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-56dBm,,,"QoS Data, SN=637, FN=0, Flags=.p....F."
86,28.765676,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-47dBm,,,"QoS Data, SN=638, FN=0, Flags=.p..R.F."
89,29.551555999999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-55dBm,,,"QoS Data, SN=639, FN=0, Flags=.p..R.F."
92,29.984941,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-61dBm,,,"QoS Data, SN=640, FN=0, Flags=.p..R.F."
95,31.2508288,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-64dBm,,,"QoS Data, SN=641, FN=0, Flags=.p..R.F."
97,32.8900496,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,203,-30dBm,,,"QoS Data, SN=642, FN=0, Flags=.p..R.F."
102,34.101865,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,136,-32dBm,,,"QoS Data, SN=643, FN=0, Flags=.p....F."
103,34.504773799999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,136,-43dBm,,,"QoS Data, SN=644, FN=0, Flags=.p..R.F."
107,36.26552159999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,113,-54dBm,,,"QoS Data, SN=645, FN=0, Flags=.p....F."
111,36.96055439999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,113,-41dBm,,,"QoS Data, SN=646, FN=0, Flags=.p..R.F."
113,38.45918579999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-39dBm,,,"QoS Data, SN=647, FN=0, Flags=.p....F."
114,38.573159999999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-48dBm,,,"QoS Data, SN=648, FN=0, Flags=.p..R.F."
119,38.880939999999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,154,-45dBm,,,"QoS Data, SN=649, FN=0, Flags=.p....F."
120,40.8004092,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,241,-48dBm,,,"QoS Data, SN=650, FN=0, Flags=.p..R.F."
125,42.545531399999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,129,-47dBm,,,"QoS Data, SN=651, FN=0, Flags=.p....F."
128,44.15411699999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-51dBm,,,"QoS Data, SN=652, FN=0, Flags=.p....F."
130,44.445240899999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-47dBm,,,"QoS Data, SN=653, FN=0, Flags=.p....F."
132,45.29815369999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-56dBm,,,"QoS Data, SN=654, FN=0, Flags=.p....F."
137,45.882835099999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-42dBm,,,"QoS Data, SN=655, FN=0, Flags=.p....F."
140,46.215224299999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-63dBm,,,"QoS Data, SN=656, FN=0, Flags=.p..R.F."
142,48.12775559999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,248,-46dBm,,,"QoS Data, SN=657, FN=0, Flags=.p....F."
145,48.47998189999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,248,-42dBm,,,"QoS Data, SN=658, FN=0, Flags=.p..R.F."
148,48.98922219999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,248,-30dBm,,,"QoS Data, SN=659, FN=0, Flags=.p....F."
149,49.43638779999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,248,-50dBm,,,"QoS Data, SN=660, FN=0, Flags=.p....F."
151,50.78833229999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-45dBm,,,"QoS Data, SN=661, FN=0, Flags=.p....F."
153,52.101281799999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-52dBm,,,"QoS Data, SN=662, FN=0, Flags=.p....F."
157,53.4167977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,210,-50dBm,,,"QoS Data, SN=663, FN=0, Flags=.p....F."
160,54.3271096,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,210,-33dBm,,,"QoS Data, SN=664, FN=0, Flags=.p....F."
164,56.3237988,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,202,-62dBm,,,"QoS Data, SN=665, FN=0, Flags=.p....F."
166,56.348131099999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,202,-51dBm,,,"QoS Data, SN=666, FN=0, Flags=.p....F."
168,58.041793199999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-66dBm,,,"QoS Data, SN=667, FN=0, Flags=.p....F."
171,58.710249299999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-39dBm,,,"QoS Data, SN=668, FN=0, Flags=.p....F."
175,59.027115599999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-51dBm,,,"QoS Data, SN=669, FN=0, Flags=.p..R.F."
177,59.61664999999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-45dBm,,,"QoS Data, SN=670, FN=0, Flags=.p....F."
181,60.094415999999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-56dBm,,,"QoS Data, SN=671, FN=0, Flags=.p..R.F."
185,60.11740029999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-61dBm,,,"QoS Data, SN=672, FN=0, Flags=.p....F."
189,61.11217499999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-45dBm,,,"QoS Data, SN=673, FN=0, Flags=.p....F."
191,62.566325799999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-55dBm,,,"QoS Data, SN=674, FN=0, Flags=.p....F."
196,63.02242449999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-64dBm,,,"QoS Data, SN=675, FN=0, Flags=.p....F."
199,64.43986519999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,108,-56dBm,,,"QoS Data, SN=676, FN=0, Flags=.p..R.F."
204,66.08039069999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-67dBm,,,"QoS Data, SN=677, FN=0, Flags=.p..R.F."
207,66.98067919999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-42dBm,,,"QoS Data, SN=678, FN=0, Flags=.p..R.F."
210,67.52509629999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,175,-49dBm,,,"QoS Data, SN=679, FN=0, Flags=.p..R.F."
215,69.25735259999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-56dBm,,,"QoS Data, SN=680, FN=0, Flags=.p....F."
218,69.4290585,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-40dBm,,,"QoS Data, SN=681, FN=0, Flags=.p..R.F."
221,69.773624,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-47dBm,,,"QoS Data, SN=682, FN=0, Flags=.p....F."
224,70.640428,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,226,-46dBm,,,"QoS Data, SN=683, FN=0, Flags=.p....F."
225,72.4760939,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,191,-46dBm,,,"QoS Data, SN=684, FN=0, Flags=.p....F."
228,72.6931741,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,191,-42dBm,,,"QoS Data, SN=685, FN=0, Flags=.p....F."
230,74.01505139999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-49dBm,,,"QoS Data, SN=686, FN=0, Flags=.p....F."
235,75.2207955,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,217,-37dBm,,,"QoS Data, SN=687, FN=0, Flags=.p....F."
239,76.3073653,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-59dBm,,,"QoS Data, SN=688, FN=0, Flags=.p....F."
240,76.4922487,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-57dBm,,,"QoS Data, SN=689, FN=0, Flags=.p..R.F."
242,76.55057550000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-47dBm,,,"QoS Data, SN=690, FN=0, Flags=.p..R.F."
247,77.2744607,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-44dBm,,,"QoS Data, SN=691, FN=0, Flags=.p....F."
249,77.50358580000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,186,-46dBm,,,"QoS Data, SN=692, FN=0, Flags=.p....F."
254,79.46502070000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,165,-46dBm,,,"QoS Data, SN=693, FN=0, Flags=.p....F."
257,79.49754770000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,165,-44dBm,,,"QoS Data, SN=694, FN=0, Flags=.p....F."
258,80.16689060000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,165,-43dBm,,,"QoS Data, SN=695, FN=0, Flags=.p....F."
262,82.07172550000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,146,-57dBm,,,"QoS Data, SN=696, FN=0, Flags=.p....F."
264,82.21409780000002,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,146,-48dBm,,,"QoS Data, SN=697, FN=0, Flags=.p..R.F."
268,83.07258220000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,146,-46dBm,,,"QoS Data, SN=698, FN=0, Flags=.p....F."
