No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
3,0.4910262,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-46dBm,,,"QoS Data, SN=122, FN=0, Flags=.p....F."
6,1.5411291,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-45dBm,,,"QoS Data, SN=123, FN=0, Flags=.p....F."
9,2.5808607,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-47dBm,,,"QoS Data, SN=124, FN=0, Flags=.p....F."
13,2.6203053,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-58dBm,,,"QoS Data, SN=125, FN=0, Flags=.p....F."
18,2.6623144,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-48dBm,,,"QoS Data, SN=126, FN=0, Flags=.p....F."
19,3.5511934,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-50dBm,,,"QoS Data, SN=127, FN=0, Flags=.p..R.F."
23,5.1415647,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,206,-44dBm,,,"QoS Data, SN=128, FN=0, Flags=.p....F."
28,6.9736321,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,216,-44dBm,,,"QoS Data, SN=129, FN=0, Flags=.p..R.F."
33,8.8400635,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,224,-53dBm,,,"QoS Data, SN=130, FN=0, Flags=.p....F."
38,10.200431499999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,179,-46dBm,,,"QoS Data, SN=131, FN=0, Flags=.p....F."
40,11.701068,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,206,-46dBm,,,"QoS Data, SN=132, FN=0, Flags=.p....F."
44,13.603934299999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-39dBm,,,"QoS Data, SN=133, FN=0, Flags=.p..R.F."
47,14.271882999999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-44dBm,,,"QoS Data, SN=134, FN=0, Flags=.p....F."
48,14.354783,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-51dBm,,,"QoS Data, SN=135, FN=0, Flags=.p....F."
50,15.231133799999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-48dBm,,,"QoS Data, SN=136, FN=0, Flags=.p..R.F."
55,16.184503,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,221,-52dBm,,,"QoS Data, SN=137, FN=0, Flags=.p....F."
57,17.2257608,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-40dBm,,,"QoS Data, SN=138, FN=0, Flags=.p..R.F."
62,17.7898492,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-51dBm,,,"QoS Data, SN=139, FN=0, Flags=.p..R.F."
63,19.3300241,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,244,-43dBm,,,"QoS Data, SN=140, FN=0, Flags=.p....F."
66,20.9600383,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,245,-45dBm,,,"QoS Data, SN=141, FN=0, Flags=.p..R.F."
70,21.9021601,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,245,-47dBm,,,"QoS Data, SN=142, FN=0, Flags=.p....F."
75,22.3635386,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,245,-42dBm,,,"QoS Data, SN=143, FN=0, Flags=.p..R.F."
79,22.693868799999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,245,-53dBm,,,"QoS Data, SN=144, FN=0, Flags=.p....F."
80,24.328464099999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-50dBm,,,"QoS Data, SN=145, FN=0, Flags=.p..R.F."
84,26.0884026,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,121,-43dBm,,,"QoS Data, SN=146, FN=0, Flags=.p....F."
89,27.338404599999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-48dBm,,,"QoS Data, SN=147, FN=0, Flags=.p....F."
92,28.273522699999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-57dBm,,,"QoS Data, SN=148, FN=0, Flags=.p..R.F."
97,28.486078799999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-44dBm,,,"QoS Data, SN=149, FN=0, Flags=.p..R.F."
101,28.891141199999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,228,-48dBm,,,"QoS Data, SN=150, FN=0, Flags=.p..R.F."
106,30.322883899999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-46dBm,,,"QoS Data, SN=151, FN=0, Flags=.p..R.F."
108,30.720943499999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-53dBm,,,"QoS Data, SN=152, FN=0, Flags=.p..R.F."
112,31.720511499999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-53dBm,,,"QoS Data, SN=153, FN=0, Flags=.p..R.F."
116,32.873517699999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-48dBm,,,"QoS Data, SN=154, FN=0, Flags=.p..R.F."
121,33.05735539999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-44dBm,,,"QoS Data, SN=155, FN=0, Flags=.p....F."
126,33.265318699999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-48dBm,,,"QoS Data, SN=156, FN=0, Flags=.p....F."
127,33.49173869999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-51dBm,,,"QoS Data, SN=157, FN=0, Flags=.p..R.F."
130,34.16486569999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-39dBm,,,"QoS Data, SN=158, FN=0, Flags=.p..R.F."
132,35.68243939999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,240,-49dBm,,,"QoS Data, SN=159, FN=0, Flags=.p....F."
135,36.950788499999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,197,-40dBm,,,"QoS Data, SN=160, FN=0, Flags=.p....F."
137,38.79005909999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,136,-42dBm,,,"QoS Data, SN=161, FN=0, Flags=.p....F."
139,40.252907099999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-46dBm,,,"QoS Data, SN=162, FN=0, Flags=.p..R.F."
141,40.44799869999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-39dBm,,,"QoS Data, SN=163, FN=0, Flags=.p....F."
145,41.082487099999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-48dBm,,,"QoS Data, SN=164, FN=0, Flags=.p....F."
150,41.43158089999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-49dBm,,,"QoS Data, SN=165, FN=0, Flags=.p....F."
151,41.586369399999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,234,-40dBm,,,"QoS Data, SN=166, FN=0, Flags=.p....F."
