No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
6,0.2121399,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,161,-23dBm,,,"QoS Data, SN=28, FN=0, Flags=.p....F."
7,0.6939846000000001,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,161,-21dBm,,,"QoS Data, SN=29, FN=0, Flags=.p..R.F."
8,1.4194967,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,161,-36dBm,,,"QoS Data, SN=30, FN=0, Flags=.p..R.F."
12,1.5045757,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,161,-38dBm,,,"QoS Data, SN=31, FN=0, Flags=.p....F."
14,2.9773517,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-29dBm,,,"QoS Data, SN=32, FN=0, Flags=.p..R.F."
16,3.4203397,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,140,-25dBm,,,"QoS Data, SN=33, FN=0, Flags=.p....F."
20,5.1026239,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-29dBm,,,"QoS Data, SN=34, FN=0, Flags=.p....F."
21,5.1448813,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,194,-25dBm,,,"QoS Data, SN=35, FN=0, Flags=.p....F."
23,6.2381085999999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,123,-63dBm,,,"QoS Data, SN=36, FN=0, Flags=.p..R.F."
27,7.768381099999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,180,-46dBm,,,"QoS Data, SN=37, FN=0, Flags=.p....F."
28,9.323633599999999,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,161,-25dBm,,,"QoS Data, SN=38, FN=0, Flags=.p....F."
33,10.6812604,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,230,-29dBm,,,"QoS Data, SN=39, FN=0, Flags=.p....F."
38,11.9199626,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-21dBm,,,"QoS Data, SN=40, FN=0, Flags=.p..R.F."
42,12.1962181,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,125,-41dBm,,,"QoS Data, SN=41, FN=0, Flags=.p....F."
43,13.569928699999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,198,-31dBm,,,"QoS Data, SN=42, FN=0, Flags=.p..R.F."
44,14.282360699999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,198,-23dBm,,,"QoS Data, SN=43, FN=0, Flags=.p..R.F."
48,15.429527299999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-26dBm,,,"QoS Data, SN=44, FN=0, Flags=.p..R.F."
49,16.076965899999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-35dBm,,,"QoS Data, SN=45, FN=0, Flags=.p....F."
51,16.741014699999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-50dBm,,,"QoS Data, SN=46, FN=0, Flags=.p..R.F."
53,16.836715199999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-53dBm,,,"QoS Data, SN=47, FN=0, Flags=.p..R.F."
57,17.7955965,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,158,-29dBm,,,"QoS Data, SN=48, FN=0, Flags=.p..R.F."
58,19.702486399999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,229,-42dBm,,,"QoS Data, SN=49, FN=0, Flags=.p....F."
62,20.076515599999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,229,-16dBm,,,"QoS Data, SN=50, FN=0, Flags=.p..R.F."
66,21.279111199999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-24dBm,,,"QoS Data, SN=51, FN=0, Flags=.p....F."
69,21.581901399999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-39dBm,,,"QoS Data, SN=52, FN=0, Flags=.p....F."
70,22.148214599999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-48dBm,,,"QoS Data, SN=53, FN=0, Flags=.p....F."
73,22.189914599999994,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,115,-43dBm,,,"QoS Data, SN=54, FN=0, Flags=.p....F."
75,24.134936499999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,207,-26dBm,,,"QoS Data, SN=55, FN=0, Flags=.p....F."
76,24.753786399999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,207,-49dBm,,,"QoS Data, SN=56, FN=0, Flags=.p....F."
79,25.881548899999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,135,-53dBm,,,"QoS Data, SN=57, FN=0, Flags=.p....F."
83,26.508034699999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,135,-27dBm,,,"QoS Data, SN=58, FN=0, Flags=.p..R.F."
87,27.840813099999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,169,-17dBm,,,"QoS Data, SN=59, FN=0, Flags=.p..R.F."
90,29.178051499999995,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,147,-23dBm,,,"QoS Data, SN=60, FN=0, Flags=.p....F."
95,29.854162999999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,147,-39dBm,,,"QoS Data, SN=61, FN=0, Flags=.p....F."
96,31.612571699999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,217,-46dBm,,,"QoS Data, SN=62, FN=0, Flags=.p....F."
99,32.0982655,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,217,-26dBm,,,"QoS Data, SN=63, FN=0, Flags=.p..R.F."
100,32.388408999999996,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,217,-43dBm,,,"QoS Data, SN=64, FN=0, Flags=.p..R.F."
